Filename,Title,Artist
a_foreboding_welcome.ogg,"A Foreboding Welcome","Rotch Gwylt"
ancient.ogg,"Egypt Moon","Voog2"
astatos.ogg,"Astatos","Voog2"
barrishee_theme.ogg,"Barrishee Theme","Rotch Gwylt"
barrow_mounds.ogg,"Barrow Mounds","Scarecrowman"
beneath_a_green_sky.ogg,"Beneath A Green Sky","Voog2"
between_you_and_me.ogg,"Between You And Me","Voog2"
christmas_on_the_marsh.ogg,"Christmas On The Marsh","Voog2"
crocodile_tears.ogg,"Crocodile Tears","Voog2"
deep_water_theme.ogg,"Deep Water","Rotch Gwylt"
dj_wights_mixtape.ogg,"The World Against Me","Voog2"
dont_follow_the_whisps.ogg,"Dont Follow The Whisps","Scarecrowman"
dreadful_peat_mummy_loop.ogg,"Dreadful Peat Mummy","Rotch Gwylt"
emerald_embers.ogg,"Emerald Embers","Scarecrowman"
enter_the_mire.ogg,"Enter The Mire","Scarecrowman"
fortress_boss_loop.ogg,"Fortress Boss","Rotch Gwylt"
ghostfaces.ogg,"Ghostfaces","Scarecrowman"
hag_dance.ogg,"Malady","Voog2"
in_between.ogg,"In Between","Voog2"
incantation.ogg,"Incantation","Scarecrowman"
leech_love_part_1.ogg,"Leech Love Part 1","Voog2"
leech_love_part_2.ogg,"Leech Love Part 2","Voog2"
lonely_fire.ogg,"Lonely Fire","Voog2"
murk_beneath_a_twinkling_void.ogg,"Murk Beneath A Twinkling Void","Scarecrowman"
numbskull.ogg,"Numbskull","Scarecrowman"
onwards.ogg,"Coco's Song","Voog2"
pit_of_decay_loop.ogg,"Pit Of Decay Loop","Rotch Gwylt"
rip_in_the_fold.ogg,"Rip In The Fold","Voog2"
spore_ballad.ogg,"Spore Ballad","Voog2"
stuck_in_the_mud.ogg,"The 7th Sporting","Voog2"
the_adventure_begins.ogg,"The Adventure Begins","Rotch Gwylt"
the_explorer.ogg,"The Explorer","Voog2"
the_other_world.ogg,"The Other World","Voog2"
the_quietus.ogg,"The Quietus","Scarecrowman"
this_is_where_it_starts.ogg,"This Is Where It Starts","Rotch Gwylt"
wandering_wisps.ogg,"Dime","Voog2"
waterlogged.ogg,"This Could've Been Our Song","Voog2"
